index,branch,task,model,horizon,metric,mean,std
0,daily,direction,baseline_logistic,1,accuracy,0.5599999999999999,0.06411794687223776
1,daily,direction,baseline_logistic,1,f1,0.6607210676324587,0.13180379606120332
2,daily,direction,baseline_logistic,1,precision,0.5911111111111111,0.051159397480983713
3,daily,direction,baseline_logistic,1,recall,0.8381578947368421,0.2936801870833621
4,daily,direction,baseline_logistic,1,roc_auc,0.4027624300650617,0.15094123680917154
5,daily,direction,baseline_logistic,3,accuracy,0.3466666666666667,0.06912147117775909
6,daily,direction,baseline_logistic,3,f1,0.19704433497536944,0.27550997939132144
7,daily,direction,baseline_logistic,3,precision,0.18571428571428572,0.25555062599997597
8,daily,direction,baseline_logistic,3,recall,0.24201680672268905,0.3762979796378882
9,daily,direction,baseline_logistic,3,roc_auc,0.46015136823960356,0.1958055172462149
10,daily,direction,baseline_logistic,7,accuracy,0.31999999999999995,0.1804315813696581
11,daily,direction,baseline_logistic,7,f1,0.2823901895206243,0.33021870870074554
12,daily,direction,baseline_logistic,7,precision,0.299023199023199,0.3044318698407479
13,daily,direction,baseline_logistic,7,recall,0.28746031746031747,0.37028228355368475
14,daily,direction,baseline_logistic,7,roc_auc,0.4518154253154253,0.3068002539210013
15,daily,direction,baseline_prev_bar,1,accuracy,0.5066666666666666,0.09831920802501748
16,daily,direction,baseline_prev_bar,1,f1,0.5588296112489661,0.11419162605486184
17,daily,direction,baseline_prev_bar,1,precision,0.5583333333333333,0.1076903998610007
18,daily,direction,baseline_prev_bar,1,recall,0.5596491228070175,0.12098626772295917
19,daily,direction,baseline_prev_bar,1,roc_auc,0.49281157439052176,0.09725458906417962
20,daily,direction,baseline_prev_bar,3,accuracy,0.4666666666666667,0.033333333333333326
21,daily,direction,baseline_prev_bar,3,f1,0.5329329508639853,0.08106861184246977
22,daily,direction,baseline_prev_bar,3,precision,0.548611111111111,0.10773517199109403
23,daily,direction,baseline_prev_bar,3,recall,0.5222408963585434,0.0739022427219691
24,daily,direction,baseline_prev_bar,3,roc_auc,0.44623796954679307,0.037782793487955595
25,daily,direction,baseline_prev_bar,7,accuracy,0.48,0.06912147117775908
26,daily,direction,baseline_prev_bar,7,f1,0.5940639397161137,0.06670872657984876
27,daily,direction,baseline_prev_bar,7,precision,0.6802777777777778,0.09461993499662438
28,daily,direction,baseline_prev_bar,7,recall,0.531092796092796,0.06397113394209235
29,daily,direction,baseline_prev_bar,7,roc_auc,0.4088797313797314,0.11000647286776745
30,daily,direction,mvp_xgboost,1,accuracy,0.4866666666666667,0.03800584750330458
31,daily,direction,mvp_xgboost,1,f1,0.3303174603174603,0.12437346129106393
32,daily,direction,mvp_xgboost,1,precision,0.7452020202020202,0.2346046578287642
33,daily,direction,mvp_xgboost,1,recall,0.2432748538011696,0.12594665434462302
34,daily,direction,mvp_xgboost,1,roc_auc,0.5502697716513506,0.06201544373916451
35,daily,direction,mvp_xgboost,3,accuracy,0.48,0.14452988925785865
36,daily,direction,mvp_xgboost,3,f1,0.315552976200072,0.28484365882979795
37,daily,direction,mvp_xgboost,3,precision,0.6476190476190476,0.4104640369430467
38,daily,direction,mvp_xgboost,3,recall,0.2787394957983193,0.3037840696336936
39,daily,direction,mvp_xgboost,3,roc_auc,0.5808828317651847,0.05859397111508506
40,daily,direction,mvp_xgboost,7,accuracy,0.37333333333333335,0.2073644135332772
41,daily,direction,mvp_xgboost,7,f1,0.305241249706366,0.3449902252761883
42,daily,direction,mvp_xgboost,7,precision,0.5329545454545455,0.40121039749469506
43,daily,direction,mvp_xgboost,7,recall,0.2818253968253968,0.35024763582299434
44,daily,direction,mvp_xgboost,7,roc_auc,0.5480836385836386,0.1414101608078263
45,daily,interval,mvp_xgboost_quantile,1,coverage,0.5133333333333334,0.2035790864613663
46,daily,interval,mvp_xgboost_quantile,1,interval_width,0.016216930560767652,0.004338266874505134
47,daily,interval,mvp_xgboost_quantile,3,coverage,0.6599999999999999,0.12780193008453877
