eligible,should_stop,task_id,tier,group_key,run_index,auc_cv_pct,brier_cv_pct,coverage_cv_pct,flip_mean,ret_delta,dd_delta,metrics_ok,flip_ok,perf_ok
False,False,core_market_cn_core_001,core_market,core_market::cn_core,1,,,,,,,,,
False,False,core_market_cn_core_002,core_market,core_market::cn_core,2,,,,,,,,,
False,False,core_market_cn_core_003,core_market,core_market::cn_core,3,,,,,,,,,
False,False,core_market_cn_core_004,core_market,core_market::cn_core,4,,,,,,,,,
False,False,core_market_cn_core_005,core_market,core_market::cn_core,5,,,,,,,,,
False,False,core_market_cn_core_006,core_market,core_market::cn_core,6,,,,,,,,,
False,False,core_market_cn_core_007,core_market,core_market::cn_core,7,,,,,,,,,
False,False,core_market_cn_core_008,core_market,core_market::cn_core,8,,,,,,,,,
False,False,core_market_cn_core_010,core_market,core_market::cn_core,10,,,,,,,,,
True,False,core_market_cn_core_011,core_market,core_market::cn_core,11,,0.53052944559043,3.139687085721941,0.1592947759411714,,,False,True,True
True,False,core_market_cn_core_012,core_market,core_market::cn_core,12,,0.5733267978764713,3.443091694889902,0.1592947759411714,,,False,True,True
True,False,core_market_cn_core_013,core_market,core_market::cn_core,13,,0.5733267978764713,3.443091694889902,0.1546042555145255,,,False,True,True
True,False,core_market_cn_core_014,core_market,core_market::cn_core,14,,0.5733267978764713,3.443091694889902,0.1901736846711633,,,False,True,True
True,False,core_market_cn_core_015,core_market,core_market::cn_core,15,,0.7021479418588228,0.5135906958445662,0.1901736846711633,,,False,True,True
True,False,core_market_cn_core_016,core_market,core_market::cn_core,16,,0.7021479418588228,0.5135906958445662,0.2257431138278011,,,False,False,True
True,False,core_market_cn_core_017,core_market,core_market::cn_core,17,,0.5745761772233271,2.948031287123409,0.2257431138278011,,,False,False,True
True,False,core_market_cn_core_018,core_market,core_market::cn_core,18,,0.5745761772233271,2.948031287123409,0.2257431138278011,,,False,False,True
True,False,core_market_cn_core_019,core_market,core_market::cn_core,19,,0.395417022632605,2.808820059728857,0.2569436297762546,,,False,False,True
True,False,core_market_cn_core_020,core_market,core_market::cn_core,20,,0.395417022632605,2.808820059728857,0.2569436297762546,,,False,False,True
True,False,core_market_cn_core_021,core_market,core_market::cn_core,21,,,,0.2569436297762546,-2.6454533008646308e-17,-1.7347234759768068e-17,False,False,True
True,False,core_market_cn_core_022,core_market,core_market::cn_core,22,,,,0.2569436297762546,-3.0357660829594124e-17,-2.0816681711721685e-17,False,False,True
True,False,core_market_cn_core_023,core_market,core_market::cn_core,23,,,,0.2569436297762546,-3.426078865054194e-17,-2.255140518769849e-17,False,False,True
True,False,core_market_cn_core_024,core_market,core_market::cn_core,24,,0.8496136606116512,4.640702887267803,0.2881441457247081,-3.8163916471489756e-17,-2.6020852139652106e-17,False,False,True
True,False,core_market_cn_core_025,core_market,core_market::cn_core,25,,0.8496136606116512,4.640702887267803,0.2881441457247081,-3.426078865054194e-17,-2.4286128663675305e-17,False,False,True
True,False,core_market_cn_core_026,core_market,core_market::cn_core,26,,0.8496136606116512,4.640702887267803,0.1856993819804025,-3.0357660829594124e-17,-2.0816681711721685e-17,False,True,True
True,False,core_market_cn_core_027,core_market,core_market::cn_core,27,,,,0.1856993819804025,-2.6454533008646308e-17,-1.9081958235744878e-17,False,True,True
True,False,core_market_cn_core_028,core_market,core_market::cn_core,28,,,,0.1856993819804025,-2.2985086056692694e-17,-1.7347234759768068e-17,False,True,True
True,False,core_market_cn_core_029,core_market,core_market::cn_core,29,,,,0.0832546182360968,-1.9081958235744878e-17,-1.3877787807814457e-17,False,True,True
True,False,core_market_cn_core_030,core_market,core_market::cn_core,30,,,,0.0832546182360968,-1.5612511283791264e-17,-1.0408340855860844e-17,False,True,True
True,False,core_market_cn_core_031,core_market,core_market::cn_core,31,,,,0.0832546182360968,-1.1709383462843448e-17,-8.673617379884035e-18,False,True,True
True,False,core_market_cn_core_032,core_market,core_market::cn_core,32,,0.6919628825141155,0.0410985981115227,0.0832546182360968,-7.806255641895632e-18,-5.204170427930421e-18,False,True,True
True,False,core_market_cn_core_033,core_market,core_market::cn_core,33,,0.6919628825141155,0.0410985981115227,0.179670989669515,-3.903127820947816e-18,-3.469446951953614e-18,False,True,True
True,False,core_market_cn_core_034,core_market,core_market::cn_core,34,,,,0.179670989669515,0.0,0.0,False,True,True
True,False,core_market_cn_core_035,core_market,core_market::cn_core,35,,,,0.179670989669515,0.0,0.0,False,True,True
True,False,core_market_cn_core_036,core_market,core_market::cn_core,36,,,,0.2760873611029331,0.0,0.0,False,False,True
True,False,core_market_cn_core_037,core_market,core_market::cn_core,37,,,,0.2760873611029331,0.0,0.0,False,False,True
True,False,core_market_cn_core_038,core_market,core_market::cn_core,38,,0.1048965471472537,2.8360433330204784,0.2760873611029331,0.0,0.0,False,False,True
True,False,core_market_cn_core_039,core_market,core_market::cn_core,39,,0.1048965471472537,2.8360433330204784,0.2760873611029331,0.0,0.0,False,False,True
True,False,core_market_cn_core_040,core_market,core_market::cn_core,40,,0.1048965471472537,2.8360433330204784,0.2760873611029331,0.0,0.0,False,False,True
True,False,core_market_cn_core_041,core_market,core_market::cn_core,41,,0.1048965471472537,2.8360433330204784,0.2232284177560731,0.0,0.0,False,False,True
True,False,core_market_cn_core_042,core_market,core_market::cn_core,42,,,,0.2232284177560731,0.0,0.0,False,False,True
True,False,core_market_cn_core_043,core_market,core_market::cn_core,43,,,,0.170369474409213,0.0,0.0,False,True,True
True,False,core_market_cn_core_044,core_market,core_market::cn_core,44,,,,0.170369474409213,0.0,0.0,False,True,True
True,False,core_market_cn_core_045,core_market,core_market::cn_core,45,,,,0.170369474409213,0.0,0.0,False,True,True
True,False,core_market_cn_core_046,core_market,core_market::cn_core,46,,0.4247421351144884,0.2561666613101965,0.170369474409213,0.0,0.0,False,True,True
