branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,0,0.0,0.0,0.0
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,3,-3.581288276980023e-06,-0.028234876775710502,0.00012683916793505834
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,0,0.0,0.0,0.0
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,328,4.467390325264544e-05,0.014697714170120349,0.47416413373860183
daily,1,0.55,0.45,5,-5.229029456268025e-05,-0.017203506911121803,0.00911854103343465
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,158,-0.00018443270467353263,-0.06067835983759223,0.25227963525835867
daily,3,0.55,0.45,87,-0.001031979218333522,-0.33952116283172873,0.11550151975683891
daily,3,0.58,0.42,13,-0.00034549772577742617,-0.11366875178077321,0.0121580547112462
daily,7,0.52,0.48,289,-0.0009031602569270306,-0.29713972452899307,0.43465045592705165
daily,7,0.55,0.45,251,-0.0005543797519822804,-0.18239093840217024,0.3768996960486322
daily,7,0.58,0.42,220,-0.0010310797488045783,-0.3392252373567063,0.331306990881459
