symbol,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h
A,Agilent Technologies,A Agilent Technologies,us_equity,sp500,yahoo,A,us_equity:a,Agilent Technologies,us_equity,A,yahoo,America/New_York,3d,128.53500366210938,126.01885526207363,-0.019575588970691227,-2.516148400035746,2026-02-16 12:13 -0500,2026-02-16 17:13 UTC,128.53500366210938,-0.05445794164936594,-0.019575588970691227,0.015306763707983485,yahoo_latest,baseline_momentum_quantile,4.856201269280337,0.1823472890751436,-0.07328762443971804,-0.1215486794140258,0.033426020516175825,-0.015733856022656492,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:13:55 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,nan,2026-02-08 01:00:00+00:00,,,,cash,0.06976470535734942,67.52968036529681,0.07966197715456852,Short,0.30900997133261865,-0.30900997133261865,0.017575588970691225,2.2590783927115257,0.002,0.06976470535734942,0.07966197715456852,0.840676045690863,0.6752968036529681,1.0,True,short_signal,model,True,0.0,0.0
AAPL,Apple Inc.,AAPL Apple Inc.,us_equity,sp500,yahoo,AAPL,us_equity:aapl,Apple Inc.,us_equity,AAPL,yahoo,America/New_York,3d,278.85,280.7891066963622,0.0069539418912036854,1.9391066963621597,2026-02-16 12:13 -0500,2026-02-16 17:13 UTC,278.85,-0.028797565299702253,0.0069539418912036854,0.042705449082109624,eastmoney_quote:105.AAPL,baseline_momentum_quantile,29.04050351662897,0.021542438604049977,0.08423755785319953,0.0679564128768404,-0.008318631385523911,-0.016125892422347177,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,4093835889000.0005,1255.0,0.044901065449010624,2026-02-11 17:13:56 UTC,True,True,True,True,True,True,True,True,30.0,16.529680365296812,20.0,16.0,82.52968036529681,82.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.07150301438181188,82.52968036529681,0.7045881027677003,Long,0.18174663095497928,0.18174663095497928,0.004953941891203685,1.3814066963621479,0.002,0.07150301438181188,0.7045881027677003,0.4091762055354007,0.8252968036529681,1.0,True,long_signal,model,True,,
ABBV,AbbVie,ABBV AbbVie,us_equity,sp500,yahoo,ABBV,us_equity:abbv,AbbVie,us_equity,ABBV,yahoo,America/New_York,3d,221.48500061035156,223.2973674718922,0.008182797284449261,1.8123668615406245,2026-02-16 12:13 -0500,2026-02-16 17:13 UTC,221.48500061035156,-0.0231296752927495,0.008182797284449261,0.03949526986164802,yahoo_latest,baseline_momentum_quantile,5.400354869857512,0.09368607830022663,-0.06372589239018844,0.003329561088795341,-0.02015107543503647,-0.014123644118311313,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:13:56 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06262494515439752,67.52968036529681,0.7355273069946644,Long,0.1816167825883864,0.1816167825883864,0.006182797284449261,1.3693968603199247,0.002,0.06262494515439752,0.7355273069946644,0.4710546139893288,0.6752968036529681,1.0,True,long_signal,model,True,,
ABNB,Airbnb,ABNB Airbnb,us_equity,sp500,yahoo,ABNB,us_equity:abnb,Airbnb,us_equity,ABNB,yahoo,America/New_York,3d,118.91,115.79381942528138,-0.02620621120779254,-3.116180574718612,2026-02-16 12:13 -0500,2026-02-16 17:13 UTC,118.91,-0.07441562655736418,-0.02620621120779254,0.0220032041417791,eastmoney_quote:105.ABNB,baseline_momentum_quantile,25.01639324311384,0.11764705882352941,-0.021400926165432543,-0.15121015797154302,0.045903227611636455,-0.021745092913710677,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,73195021485.95999,1255.0,0.044901065449010624,2026-02-11 17:13:56 UTC,True,True,True,True,True,True,True,True,12.0,16.529680365296812,20.0,16.0,64.52968036529681,64.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.09641883069914328,64.52968036529681,0.03641161495745637,Short,0.2773745958208564,-0.2773745958208564,0.02420621120779254,2.8783605747186107,0.002,0.09641883069914328,0.03641161495745637,0.9271767700850873,0.6452968036529682,1.0,True,short_signal,model,True,,
ABT,Abbott Laboratories,ABT Abbott Laboratories,us_equity,sp500,yahoo,ABT,us_equity:abt,Abbott Laboratories,us_equity,ABT,yahoo,America/New_York,3d,112.4000015258789,113.52845988811106,0.010039665008121368,1.128458362232152,2026-02-16 12:13 -0500,2026-02-16 17:13 UTC,112.4000015258789,-0.0447232914300774,0.010039665008121368,0.06480262144632014,yahoo_latest,baseline_momentum_quantile,4.722063951035025,0.19840250643726756,-0.1548236943891511,-0.09573613221009991,-0.038817048947291655,-0.024701099719698288,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:13:56 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.10952591287639754,67.52968036529681,0.7781569563570121,Long,0.16232780057073118,0.16232780057073118,0.008039665008121368,0.9036583591803969,0.002,0.10952591287639754,0.7781569563570121,0.5563139127140242,0.6752968036529681,1.0,True,long_signal,model,True,,
ACGL,Arch Capital Group,ACGL Arch Capital Group,us_equity,sp500,yahoo,ACGL,us_equity:acgl,Arch Capital Group,us_equity,ACGL,yahoo,America/New_York,3d,97.11,96.37117300536958,-0.007608145346827411,-0.7388269946304149,2026-02-16 12:13 -0500,2026-02-16 17:13 UTC,97.11,-0.042142964206064316,-0.007608145346827411,0.026926673512409495,eastmoney_quote:105.ACGL,baseline_momentum_quantile,24.274677303058816,0.6944444444444444,0.09014367550784552,0.06984691199467452,0.030160758273298782,-0.0155770991912464,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,34862490000.0,1255.0,0.044901065449010624,2026-02-11 17:13:56 UTC,True,True,True,True,True,True,True,True,6.0,16.529680365296812,20.0,16.0,58.52968036529681,58.52968036529681,3,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.06906963771847381,58.52968036529681,0.2786801062023047,Short,0.1416615279113893,-0.1416615279113893,0.005608145346827411,0.5446069946304098,0.002,0.06906963771847381,0.2786801062023047,0.4426397875953906,0.5852968036529681,1.0,True,short_signal,model,True,,
ACN,Accenture,ACN Accenture,us_equity,sp500,yahoo,ACN,us_equity:acn,Accenture,us_equity,ACN,yahoo,America/New_York,3d,229.63999938964844,223.23276387122831,-0.027901217276823154,-6.407235518420123,2026-02-16 12:13 -0500,2026-02-16 17:13 UTC,229.63999938964844,-0.09773358480910922,-0.027901217276823154,0.041931150255462915,yahoo_latest,baseline_momentum_quantile,5.436512862641574,0.4115114584816805,-0.06016205765966365,-0.1703756881614944,0.04969995783232117,-0.031498231400714255,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:13:56 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.13966473506457214,67.52968036529681,0.029665613511686728,Short,0.2373827047961259,-0.2373827047961259,0.025901217276823152,5.9479555196408205,0.002,0.13966473506457214,0.029665613511686728,0.9406687729766265,0.6752968036529681,1.0,True,short_signal,model,True,,
ADBE,Adobe Inc.,ADBE Adobe Inc.,us_equity,sp500,yahoo,ADBE,us_equity:adbe,Adobe Inc.,us_equity,ADBE,yahoo,America/New_York,3d,258.81,248.76581148008944,-0.03880912066732567,-10.044188519910563,2026-02-16 12:13 -0500,2026-02-16 17:13 UTC,258.81,-0.08852613242652363,-0.03880912066732567,0.01090789109187229,eastmoney_quote:105.ADBE,baseline_momentum_quantile,25.388980688613355,0.10940919037199125,-0.26412603582246774,-0.16547286443412657,0.07531015367675675,-0.022425101658184947,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,106241505000.0,1255.0,0.044901065449010624,2026-02-11 17:13:56 UTC,True,True,True,True,True,True,True,True,18.0,16.529680365296812,20.0,16.0,70.52968036529681,70.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.09943402351839592,70.52968036529681,0.007758788116552118,Short,0.31659205026904524,-0.31659205026904524,0.03680912066732567,9.526568519910557,0.002,0.09943402351839592,0.007758788116552118,0.9844824237668958,0.7052968036529681,1.0,True,short_signal,model,True,,
ADI,Analog Devices,ADI Analog Devices,us_equity,sp500,yahoo,ADI,us_equity:adi,Analog Devices,us_equity,ADI,yahoo,America/New_York,3d,334.98,343.1079027526259,0.024263844864248263,8.127902752625857,2026-02-16 12:14 -0500,2026-02-16 17:14 UTC,334.98,-0.014845172808599816,0.024263844864248263,0.06337286253709634,eastmoney_quote:105.ADI,baseline_momentum_quantile,25.821184067981054,0.2066115702479339,0.3858568128659494,0.1306843897550527,-0.04518790062416089,-0.017640313969656773,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,163680806753.1,1255.0,0.044901065449010624,2026-02-11 17:14:11 UTC,True,True,True,True,True,True,True,True,24.0,16.529680365296812,20.0,16.0,76.52968036529681,76.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.07821803534569616,76.52968036529681,0.9540420371956293,Long,0.35847929013863167,0.35847929013863167,0.02226384486424826,7.457942752625883,0.002,0.07821803534569616,0.9540420371956293,0.9080840743912586,0.7652968036529681,1.0,True,long_signal,model,True,,
ADM,Archer Daniels Midland,ADM Archer Daniels Midland,us_equity,sp500,yahoo,ADM,us_equity:adm,Archer Daniels Midland,us_equity,ADM,yahoo,America/New_York,3d,69.87000274658203,71.27775411909991,0.020148151097457045,1.407751372517879,2026-02-16 12:14 -0500,2026-02-16 17:14 UTC,69.87000274658203,-0.014099988893580342,0.020148151097457045,0.05439629108849443,yahoo_latest,baseline_momentum_quantile,4.246636411874249,0.0,0.18203353113053655,0.10239825763795607,-0.037570634782880585,-0.015447791283647988,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:14:11 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06849627998207478,67.52968036529681,0.9254299085195952,Long,0.3153660772847643,0.3153660772847643,0.018148151097457044,1.2680113670247093,0.002,0.06849627998207478,0.9254299085195952,0.8508598170391903,0.6752968036529681,1.0,True,long_signal,model,True,,
