symbol,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h,news_score_30m_news,news_count_30m_news,news_score_120m_news,news_count_120m_news,news_score_1440m_news,news_count_1440m_news,news_burst_zscore_news,news_pos_neg_ratio_news,news_conflict_score_news,news_risk_level_news,news_event_risk_news,news_gate_pass_news,news_reason_codes_news,timestamp_utc_news,news_latest_headlines_news,news_latest_providers_news,news_last_available_at_utc_news
A,Agilent Technologies,A Agilent Technologies,us_equity,sp500,yahoo,A,us_equity:a,Agilent Technologies,us_equity,A,yahoo,America/New_York,3d,128.02499389648438,125.29791793394392,-0.0213011215977518,-2.7270759625404537,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,128.02499389648438,-0.0561597422257174,-0.0213011215977518,0.0135574990302137,yahoo_latest,baseline_momentum_quantile,4.852225509674208,0.1855916260695833,-0.0769646956498588,-0.1250342571894213,0.037261257258625,-0.0157231515649492,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,nan,2026-02-08 01:00:00+00:00,,,,cash,0.0697172412559312,67.52968036529681,0.0652141985238058,Short,0.3197303274843578,-0.3197303274843578,0.019301121597751797,2.4710259747474765,0.002,0.0697172412559311,0.0652141985238058,0.8695716029523883,0.6752968036529681,1.0,True,short_signal,model,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,,2026-02-08 01:00:00+00:00,,,
AAPL,Apple Inc.,AAPL Apple Inc.,us_equity,sp500,yahoo,AAPL,us_equity:aapl,Apple Inc.,us_equity,AAPL,yahoo,America/New_York,3d,279.435,281.6687616841237,0.0079938507492751,2.233761684123692,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,279.435,-0.0280196817381382,0.0079938507492751,0.0440073832366886,eastmoney_quote:105.AAPL,baseline_momentum_quantile,29.042599221203183,0.0214961306964746,0.0867265094290805,0.0704079898191343,-0.0106333051656375,-0.0162440802156855,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,4102424355900.0,1255.0,0.0449010654490106,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,30.0,16.529680365296812,20.0,16.0,82.52968036529681,82.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0720270649748268,82.52968036529681,0.7309074247826977,Long,0.20443558084742755,0.20443558084742755,0.0059938507492751005,1.6748916841236878,0.002,0.0720270649748268,0.7309074247826977,0.4618148495653953,0.8252968036529681,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ABBV,AbbVie,ABBV AbbVie,us_equity,sp500,yahoo,ABBV,us_equity:abbv,AbbVie,us_equity,ABBV,yahoo,America/New_York,3d,221.91000366210935,223.91453910871965,0.0090331008676043,2.0045354466102765,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,221.91000366210935,-0.0222245463820246,0.0090331008676043,0.0402907481172333,yahoo_latest,baseline_momentum_quantile,5.402271910770565,0.0919469709949394,-0.0619292950950243,0.0052548297264298,-0.0221086225335718,-0.0140989148857872,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0625152944992579,67.52968036529681,0.7556797126772261,Long,0.1973046704834541,0.1973046704834541,0.0070331008676043,1.5607154392860545,0.002,0.0625152944992579,0.7556797126772261,0.5113594253544522,0.6752968036529681,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ABNB,Airbnb,ABNB Airbnb,us_equity,sp500,yahoo,ABNB,us_equity:abnb,Airbnb,us_equity,ABNB,yahoo,America/New_York,3d,118.86,115.7580134834484,-0.0260978168984653,-3.101986516551591,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,118.86,-0.0743023438797509,-0.0260978168984653,0.0221067100828202,eastmoney_quote:105.ABNB,baseline_momentum_quantile,25.015972668602863,0.1176470588235294,-0.0211540023048319,-0.1509959880727193,0.0456624862654367,-0.0217428879912529,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,73164243998.16,1255.0,0.0449010654490106,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.0964090539625711,67.52968036529681,0.0368900002747802,Short,0.2899860435992753,-0.2899860435992753,0.024097816898465303,2.8642665165515857,0.002,0.0964090539625711,0.0368900002747802,0.9262199994504396,0.6752968036529681,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ABT,Abbott Laboratories,ABT Abbott Laboratories,us_equity,sp500,yahoo,ABT,us_equity:abt,Abbott Laboratories,us_equity,ABT,yahoo,America/New_York,3d,112.25,113.31016417382978,0.0094446697000425,1.0601641738297758,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,112.25,-0.0452875104384779,0.0094446697000425,0.064176849838563,yahoo_latest,baseline_momentum_quantile,4.720728526622364,0.19947226484957,-0.1559516101699096,-0.0969429023001734,-0.03743071317918,-0.0246872179189921,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.1094643602770409,67.52968036529681,0.7650527405938322,Long,0.15472978019141873,0.15472978019141873,0.007444669700042501,0.8356641738297707,0.002,0.1094643602770409,0.7650527405938322,0.5301054811876644,0.6752968036529681,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ACGL,Arch Capital Group,ACGL Arch Capital Group,us_equity,sp500,yahoo,ACGL,us_equity:acgl,Arch Capital Group,us_equity,ACGL,yahoo,America/New_York,3d,97.285,96.62146254284704,-0.0068205525739113,-0.6635374571529695,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,97.285,-0.0412250865065942,-0.0068205525739113,0.0275839813587715,eastmoney_quote:105.ACGL,baseline_momentum_quantile,24.276477761375894,0.6944444444444444,0.0921082359946057,0.07177489544989,0.0284129997937404,-0.0155183335370141,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,34925315000.0,1255.0,0.0449010654490106,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,7.5,16.529680365296812,20.0,16.0,60.02968036529681,60.02968036529681,3,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.0688090678653658,60.02968036529681,0.2988942139429592,Short,0.1322479900573476,-0.1322479900573476,0.0048205525739113,0.4689674571529608,0.002,0.0688090678653657,0.2988942139429592,0.40221157211408165,0.6002968036529681,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ACN,Accenture,ACN Accenture,us_equity,sp500,yahoo,ACN,us_equity:acn,Accenture,us_equity,ACN,yahoo,America/New_York,3d,230.0050048828125,223.738972831846,-0.0272430247948693,-6.266032050966516,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,230.0050048828125,-0.0968773689163464,-0.0272430247948693,0.0423913193266076,yahoo_latest,baseline_momentum_quantile,5.438101069046496,0.4105760746161117,-0.0586682150688694,-0.1690570266395977,0.0481894860657858,-0.0314089119713889,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 17:23:33 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.1392686882429541,67.52968036529681,0.0321278079436276,Short,0.23656014260821123,-0.23656014260821123,0.025243024794869298,5.80602204120087,0.002,0.13926868824295402,0.0321278079436276,0.9357443841127449,0.6752968036529681,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ADBE,Adobe Inc.,ADBE Adobe Inc.,us_equity,sp500,yahoo,ADBE,us_equity:adbe,Adobe Inc.,us_equity,ADBE,yahoo,America/New_York,3d,260.375,251.00428580487213,-0.0359893007974185,-9.370714195127874,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,260.375,-0.0853524393732756,-0.0359893007974185,0.0133738377784385,yahoo_latest,baseline_momentum_quantile,5.562122899581136,0.4389799654864861,-0.2592039607904528,-0.1598909232628572,0.0691251369123271,-0.0222654854256374,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 17:23:33 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.0987262771517142,67.52968036529681,0.0110014846381258,Short,0.30229946255436435,-0.30229946255436435,0.0339893007974185,8.849964195127841,0.002,0.09872627715171409,0.0110014846381258,0.9779970307237484,0.6752968036529681,1.0,True,short_signal,model,True,,,,,,,,,,,,,,,,,,,
ADI,Analog Devices,ADI Analog Devices,us_equity,sp500,yahoo,ADI,us_equity:adi,Analog Devices,us_equity,ADI,yahoo,America/New_York,3d,335.32,343.64165436638444,0.0248170534605285,8.32165436638445,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,335.32,-0.0144792537408326,0.0248170534605285,0.0641133606618897,eastmoney_quote:105.ADI,baseline_momentum_quantile,25.82219853920039,0.2061855670103093,0.387511937207055,0.1320347624906901,-0.0464361651773903,-0.0177247918288,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,163846940475.4,1255.0,0.0449010654490106,2026-02-11 17:23:47 UTC,True,True,True,True,True,True,True,True,22.5,16.529680365296812,20.0,16.0,75.02968036529681,75.02968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0785926144027223,75.02968036529681,0.9569805892855012,Long,0.3529093393885333,0.3529093393885333,0.0228170534605285,7.651014366384417,0.002,0.0785926144027223,0.9569805892855012,0.9139611785710025,0.7502968036529681,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
ADM,Archer Daniels Midland,ADM Archer Daniels Midland,us_equity,sp500,yahoo,ADM,us_equity:adm,Archer Daniels Midland,us_equity,ADM,yahoo,America/New_York,3d,69.75,71.1006493026492,0.0193641477082322,1.3506493026492024,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,69.75,-0.0147282790656723,0.0193641477082322,0.0534565744821368,yahoo_latest,baseline_momentum_quantile,4.244917420701475,0.0,0.180003371337897,0.1005048725865254,-0.0357885921171832,-0.0153775560744073,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.0449010654490106,2026-02-11 17:23:47 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0681848535478091,67.52968036529681,0.9183786166498304,Long,0.31077649087983716,0.31077649087983716,0.0173641477082322,1.2111493026491957,0.002,0.06818485354780911,0.9183786166498304,0.8367572332996609,0.6752968036529681,1.0,True,long_signal,model,True,,,,,,,,,,,,,,,,,,,
